,Code,Price,Title,Issue
35,OCT250036,29.99,TRAVELING TO MARS TP (MR) (C: 0-1-2),
36,OCT250037,19.99,ZEROCALCARES ARMADILLO PROPHECY GN (MR),
37,OCT250038,19.99,ZEROCALCARES FORGET MY NAME GN (MR),
38,OCT250039,19.99,ZEROCALCARES TENTACLES AT MY THROAT GN (MR),
39,OCT250040,6.95,FEMFORCE #206 (C: 0-0-1),
40,OCT250041,19.99,ALLEY OOP AND THE ART INVASION TP,
41,OCT250042,34.99,ALLEY OOP IN THE LAND OF THE GIANTS TP (C: 0-1-2),
42,OCT250043,27.5,ALLEY OOP IS GLADIATOR XVIII TP,
43,OCT250044,8.5,INUIT #2 (OF 4) (MR) (C: 0-1-2),
44,OCT250045,6.5,MOTH HILL #2 (OF 6) (MR) (C: 0-1-2),
45,OCT250046,6.5,SLASHER ROYALE #3 (MR) (C: 0-1-2),
46,OCT250047,17.99,KEEPER OF THE LOST CITIES GN VOL 02 PART 1 (C: 0-1-0),
47,OCT250048,27.99,KEEPER OF THE LOST CITIES HC GN VOL 02 PART 1 (C: 0-1-0),
48,OCT250049,19.99,HERE U ARE HC VOL 01 (OF 3) (MR),
49,OCT250050,19.99,HERE U ARE HC VOL 02 (OF 3) (MR) (C: 0-1-2),
50,OCT250051,19.99,HERE U ARE HC VOL 03 (OF 3) (MR) (C: 0-1-2),
51,OCT250052,4.99,STAKE PRESENTS JESSAMY #3 CVR A FANTINI (MR),
52,OCT250053,4.99,STAKE PRESENTS JESSAMY #3 CVR B KISSKISS (MR),
53,OCT250054,4.99,STAKE PRESENTS JESSAMY #3 CVR C 10 COPY INCV STODDARD (MR),
54,OCT250055,4.99,DUSK #4 (OF 4) CVR A GABRIEL HARDMAN,
55,OCT250056,4.99,NEVERWARS #7 CVR A ERWIN J ARROZA WRAPAROUND,
56,OCT250057,32,WE WHO WILL DIE DLX ED HC,
57,OCT250058,5.25,UNDER THE FLOORBOARDS #9 (MR) (C: 0-1-2),
58,OCT250059,10,DREAM MASTER #1 (OF 5) LIMITED VIRGIN VARIANT,
59,OCT250060,20,DREAM MASTER #1 (OF 5) LIMITED HOLOFOIL,
60,OCT250061,10,DREAM MASTER #2 (OF 5) LIMITED VIRGIN VARIANT,
61,OCT250062,10,DREAM MASTER #3 (OF 5) LIMITED VIRGIN VARIANT,
62,OCT250063,10,DREAM MASTER #4 (OF 5) LIMITED VIRGIN VARIANT,
63,OCT250064,10,DREAM MASTER #5 (OF 5) LIMITED VIRGIN VARIANT,
64,OCT250065,4.99,RYSK #3 (OF 5) CVR A MANNIX FRANCISCO,
65,OCT250066,3.99,IT SECRET WORLD OF MODERN BANKING #1 (OF 5),
66,OCT250067,3.99,IT SECRET WORLD OF MODERN BANKING #2 (OF 5),
67,OCT250068,3.99,IT SECRET WORLD OF MODERN BANKING #3 (OF 5),
68,OCT250069,3.99,IT SECRET WORLD OF MODERN BANKING #4 (OF 5),
69,OCT250070,3.99,IT SECRET WORLD OF MODERN BANKING #5 (OF 5),
70,OCT250071,38.99,ARTURO DEL CASTILLO THREE MUSKETEER FLEETWAY COMIC ARC ED HC,
71,OCT250072,38.99,FERDINANDO TACCONIS WAR EAGLE FLEETWAY COMICS ARC ED HC (C:,
72,OCT250073,38.99,JESUS BLASCOS BUFFALO BILL CODY STORIES FLEETWAY ARC ED HC (,
73,OCT250074,30,ILLUSTRATORS #49 CVR ICE (C: 0-1-2),
74,OCT250075,35,ILLUSTRATORS #50 (C: 0-1-2),
75,OCT250076,49.99,ILLUSTRATORS SPECIAL #16 MODESTY BLAISE ART NEW PRT (C: 0-1-,
76,OCT250077,52.99,WES SLADE DEPUTY US MARSHALL HC (C: 0-1-2),
77,OCT250078,26.99,COMIC SHOP NEWS (100CT BUNDLE) #1998 (Net),
78,OCT250079,26.99,COMIC SHOP NEWS (100CT BUNDLE) #1999 (Net),
79,OCT250080,26.99,COMIC SHOP NEWS (100CT BUNDLE) #2000 (Net),
80,OCT250081,26.99,COMIC SHOP NEWS (100CT BUNDLE) #2001 (Net),
81,OCT250082,26.99,COMIC SHOP NEWS (100CT BUNDLE) #2002 (Net),
82,OCT250083,19.99,EDGE TP VOL 02 REIGN OF CHAOS (C: 0-1-2),
83,OCT250084,8.95,G FAN #150 (C: 0-1-2),
84,OCT250085,10.99,BEANO BETTY & YETI FRIENDS AT FIRST FART GN,
85,OCT250086,10.99,BEANO BETTY & YETI A MONSTROUS MESS GN,
86,OCT250087,25,SURVIVOR ARONS STORY HC GN,
87,OCT250088,19.99,BABY ANIMAL SOUNDS BOARD BOOK,
88,OCT250089,15.99,HOW IT WORKS THE UNIVERSE BOARD BOOK,
89,OCT250090,15.99,LIGHTFALL GIRL & GALDURIAN GN,
90,OCT250091,24.99,LIGHTFALL GIRL & GALDURIAN HC,
91,OCT250092,11.99,PLUS SIZED MISADVENTURES IN LOVE GN VOL 02,
92,OCT250093,15.99,SWIM TEAM GN,
93,OCT250094,24.99,SWIM TEAM HC,
94,OCT250095,15.99,WAY OF THE HIVE GN,
95,OCT250096,24.99,WAY OF THE HIVE HC,
96,OCT250097,18.99,CLYDEO VERSUS PEANUT BUTTER HC,
97,OCT250098,9.99,I LOVE YOU ALOTL I LOVE YOU SO MUCH HC,
98,OCT250099,15.99,STRAWBERRY PATCH PANCAKE HOUSE COLORING BOOK SC,
99,OCT250100,15.99,LITTLE JOYS COLORING BOOK SC,
100,OCT250101,5.99,MY LITTLE PONY A MAGICAL VALENTINES DAY GN,
101,OCT250102,34.99,BLACK PANTHER ILLUSTRATED HISTORY HC (C: 0-1-1),
102,OCT250103,15.99,KNIGHTS OF THE DINNER TABLE #324 (C: 0-1-2),
103,OCT250104,75,HUNGER WOLFSKULLJACK PREMIERE EDITION HC (C: 0-1-2),
104,OCT250105,13.99,GHOST BOYS GN (C: 0-1-2),
105,OCT250106,24.99,GHOST BOYS HC (C: 0-1-2),
106,OCT250107,12.5,LOCUS MAGAZINE #779 VOL 95 NO 6 (C: 0-1-1),
107,OCT250108,29.99,PEAKY BLINDERS THE OFFICIAL GUIDE TO THE COMPLETE SERIES HC,
108,OCT250109,14.99,CASTLE OF FRANKENSTEIN #42 (C: 0-0-1),
109,OCT250110,14.99,SCARY MONSTERS MAGAZINE #140 (C: 0-1-1),
110,OCT250111,8.99,CARTOONS MAGAZINE #60 COVERING ALL CAR CULTURES (C: 0-1-2),
111,OCT250112,29.99,SAVAGE WORLD OF TONY LORENZ GN (C: 0-1-2),
112,OCT250113,52.99,GOLDEN AGE CLASSICS BLACK CONDOR & RAY HC VOL 03 (C: 0-1-2),
113,OCT250114,62.99,GOLDEN AGE CLASSICS BLACK CONDOR & RAY SLIPCASE VOL 03 (C: 0,
114,OCT250115,32.99,GOLDEN AGE CLASSICS THE SPIRIT SOFTEE VOL 05 (C: 0-1-2),
115,OCT250116,15.99,PLANET COMICS FACISMILE ED #4 (C: 0-1-2),
116,OCT250117,15.99,PLANET COMICS FACISMILE ED #5 (C: 0-1-2),
117,OCT250118,15.99,PLANET COMICS FACISMILE ED #6 (C: 0-1-2),
118,OCT250119,32.99,PRE CODE CLASSICS MYSTERIOUS STORIES VOL 01 (C: 0-1-2),
119,OCT250120,32.99,PRE CODE CLASSICS WHITE PRINCESS OF JUNGLE VOL 01 (C: 0-1-2),
120,OCT250121,32.99,PS ARTBOOK MILITARY COMICS SOFTEE VOL 10 (C: 0-1-2),
121,OCT250122,32.99,PS ARTBOOK PLASTIC MAN SOFTEE VOL 10 (C: 0-1-2),
122,OCT250123,52.99,PS ARTBOOKS CLASSIC HORROR COMICS HC VOL 12 (C: 0-1-2),
123,OCT250124,62.99,PS ARTBOOKS CLASSICS HORROR COMICS SLIPCASE ED VOL 12 (C: 0-,
124,OCT250125,22.99,PS ARTBOOKS HORROR MONSTERS MAGAZINE #7 (C: 0-1-2),
125,OCT250126,22.99,NIMONA 10TH ANNIVERSARY LTD ED (C: 0-1-1),
126,OCT250127,18.99,NIMONA GN NEW PTG,
127,OCT250128,18.99,SQUIRE GN,
128,OCT250129,26.99,SQUIRE HC,
129,OCT250130,7.85,2000 AD PROG 2461 (DEC 2025 SHIPPING) (MR) (C: 0-1-2),
130,OCT250131,7.85,2000 AD PROG 2462 (DEC 2025 SHIPPING) (MR) (C: 0-1-2),
131,OCT250132,11.75,2000 AD PROG 2463 (DEC 2025 SHIPPING) (MR) (C: 0-1-2),
